Altium Designer Pick and Place Locations
D:\Synology Drive\IRNAS-Projects\SmartParks\Smartparks - Fence monitor\Electronics\04_OUTPUT_FILES\Fence monitor_V1.1_PICK & PLACE\Fence monitor_V1.1_PICK & PLACE.csv

========================================================================================================================
File Design Information:

Date:       13/08/20
Time:       09:20
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"LOGO1","LOGO_1-10MM","-83.7318","-80.0700","22.0005","40.5998","-83.7318","-80.0700","TopLayer","90","IRNAS logo1-10mm"
"C8","CAP0603","18.7005","25.8998","18.7005","25.8998","18.7005","25.1498","TopLayer","90","4.7pF"
"R29","RES0603","14.6005","21.0498","14.6005","21.0498","14.6005","20.2998","TopLayer","90","220k"
"R23","RES0603","18.7005","28.9998","18.7005","28.9998","18.7005","28.2498","TopLayer","90","100k"
"R22","RES0603","12.7005","23.6998","12.7005","23.6998","13.2308","23.1695","TopLayer","135","100k"
"R19","RES0603","16.3405","29.6998","16.3405","29.6998","17.0905","29.6998","TopLayer","180","100k"
"R18","RES0603","9.4705","24.6998","9.4705","24.6998","10.2205","24.6998","TopLayer","180","100k"
"R13","RES0603","13.3205","29.6998","13.3205","29.6998","14.0705","29.6998","TopLayer","180","100k"
"R12","RES0603","6.9005","25.4298","6.9005","25.4298","6.9005","24.6798","TopLayer","90","100k"
"R40","RES2512","7.7623","51.9398","7.7623","51.9398","7.7623","54.6398","TopLayer","270","1M"
"R39","RES2512","13.1005","58.5998","13.1005","58.5998","15.8005","58.5998","TopLayer","180","1M"
"R36","RES0402","25.3291","22.9909","25.3291","22.9909","25.3291","22.4909","TopLayer","90","100R"
"R35","RES0402","17.9005","16.3998","17.9005","16.3998","17.4005","16.3998","TopLayer","360","100R"
"D6","LED0603","26.8005","22.2998","26.8005","22.2998","26.8005","21.4998","TopLayer","90","LED RED"
"D5","LED0603","16.9005","14.1998","16.9005","14.1998","16.9005","13.3998","TopLayer","90","LED RED"
"TAB2","WP-SMBU","10.8005","16.0998","10.8005","16.0998","10.8005","16.0998","TopLayer","180","WP-SMBU SMD"
"TAB1","WP-SMBU","21.8005","58.5898","21.8005","58.5898","21.8005","58.5898","TopLayer","180","WP-SMBU SMD"
"T5","SOT_23","25.4005","25.7998","25.4005","25.7998","24.2005","26.7498","TopLayer","270","BC847B"
"T3","SOT_23","20.9005","15.2998","20.9005","15.2998","21.8505","16.4998","TopLayer","180","BC847B"
"R31","RES0402","24.2005","22.9998","24.2005","22.9998","24.2005","22.4998","TopLayer","90","100k"
"R24","RES0402","25.3005","28.1998","25.3005","28.1998","24.8005","28.1998","TopLayer","360","220k"
"R21","RES0402","18.4005","14.5998","18.4005","14.5998","18.4005","14.0998","TopLayer","90","100k"
"R10","RES2512","7.7623","34.6798","7.7623","34.6798","7.7623","37.3798","TopLayer","270","1M"
"R9","RES2512","7.7623","43.2598","7.7623","43.2598","7.7623","45.9598","TopLayer","270","1M"
"D4","SOD-323_2L","18.1005","19.1998","18.1005","19.1998","18.1005","20.4498","TopLayer","270","BAT54HT1G"
"D3","SOD-323_2L","20.0005","19.1998","20.0005","19.1998","20.0005","20.4498","TopLayer","270","BAT54HT1G"
"D2","SOD-323_2L","20.5005","25.7998","20.5005","25.7998","20.5005","24.5498","TopLayer","90","BAT54HT1G"
"D1","SOD-323_2L","22.4005","25.7998","22.4005","25.7998","22.4005","24.5498","TopLayer","90","BAT54HT1G"
"C7","CAP0603","16.3005","20.9998","16.3005","20.9998","16.3005","20.2498","TopLayer","90","4.7pF"
"C4","CAP0805","9.9005","29.6998","9.9005","29.6998","10.8505","29.6998","TopLayer","180","1nF"
"C3","CAP0805","6.9005","28.8198","6.9005","28.8198","6.9005","27.8698","TopLayer","90","1nF"
"LOGO1","LOGO_1-10MM","-56.9314","-80.0700","48.8008","40.5998","-56.9314","-80.0700","TopLayer","90","IRNAS logo1-10mm"
"C8","CAP0603","45.5008","25.8998","45.5008","25.8998","45.5008","25.1498","TopLayer","90","4.7pF"
"R29","RES0603","41.4008","21.0498","41.4008","21.0498","41.4008","20.2998","TopLayer","90","220k"
"R23","RES0603","45.5008","28.9998","45.5008","28.9998","45.5008","28.2498","TopLayer","90","100k"
"R22","RES0603","39.5008","23.6998","39.5008","23.6998","40.0311","23.1695","TopLayer","135","100k"
"R19","RES0603","43.1408","29.6998","43.1408","29.6998","43.8908","29.6998","TopLayer","180","100k"
"R18","RES0603","36.2708","24.6998","36.2708","24.6998","37.0208","24.6998","TopLayer","180","100k"
"R13","RES0603","40.1208","29.6998","40.1208","29.6998","40.8708","29.6998","TopLayer","180","100k"
"R12","RES0603","33.7008","25.4298","33.7008","25.4298","33.7008","24.6798","TopLayer","90","100k"
"R40","RES2512","34.5627","51.9398","34.5627","51.9398","34.5627","54.6398","TopLayer","270","1M"
"R39","RES2512","39.9008","58.5998","39.9008","58.5998","42.6008","58.5998","TopLayer","180","1M"
"R36","RES0402","52.1294","22.9909","52.1294","22.9909","52.1294","22.4909","TopLayer","90","100R"
"R35","RES0402","44.7008","16.3998","44.7008","16.3998","44.2008","16.3998","TopLayer","360","100R"
"D6","LED0603","53.6008","22.2998","53.6008","22.2998","53.6008","21.4998","TopLayer","90","LED RED"
"D5","LED0603","43.7008","14.1998","43.7008","14.1998","43.7008","13.3998","TopLayer","90","LED RED"
"TAB2","WP-SMBU","37.6008","16.0998","37.6008","16.0998","37.6008","16.0998","TopLayer","180","WP-SMBU SMD"
"TAB1","WP-SMBU","48.6008","58.5898","48.6008","58.5898","48.6008","58.5898","TopLayer","180","WP-SMBU SMD"
"T5","SOT_23","52.2008","25.7998","52.2008","25.7998","51.0008","26.7498","TopLayer","270","BC847B"
"T3","SOT_23","47.7008","15.2998","47.7008","15.2998","48.6508","16.4998","TopLayer","180","BC847B"
"R31","RES0402","51.0008","22.9998","51.0008","22.9998","51.0008","22.4998","TopLayer","90","100k"
"R24","RES0402","52.1008","28.1998","52.1008","28.1998","51.6008","28.1998","TopLayer","360","220k"
"R21","RES0402","45.2008","14.5998","45.2008","14.5998","45.2008","14.0998","TopLayer","90","100k"
"R10","RES2512","34.5627","34.6798","34.5627","34.6798","34.5627","37.3798","TopLayer","270","1M"
"R9","RES2512","34.5627","43.2598","34.5627","43.2598","34.5627","45.9598","TopLayer","270","1M"
"D4","SOD-323_2L","44.9008","19.1998","44.9008","19.1998","44.9008","20.4498","TopLayer","270","BAT54HT1G"
"D3","SOD-323_2L","46.8008","19.1998","46.8008","19.1998","46.8008","20.4498","TopLayer","270","BAT54HT1G"
"D2","SOD-323_2L","47.3008","25.7998","47.3008","25.7998","47.3008","24.5498","TopLayer","90","BAT54HT1G"
"D1","SOD-323_2L","49.2008","25.7998","49.2008","25.7998","49.2008","24.5498","TopLayer","90","BAT54HT1G"
"C7","CAP0603","43.1008","20.9998","43.1008","20.9998","43.1008","20.2498","TopLayer","90","4.7pF"
